gm,date,tm,home_away,opp,result,r,ra,inn,record,rank,gb,win,loss,save,time,day_night,attendance,c_li,streak,orig_scheduled,year,ymd,game_num,is_double_header,dotw
81,"Saturday, Jul 3",BOS,H,BAL,W,9,3,,49-32,2,0.5,Lester,Guthrie,,2:56,N,38106,1.54,2,,2010,2010-07-03,1,FALSE,Saturday
82,"Sunday, Jul 4",BOS,H,BAL,L,1,6,,49-33,2,1.5,Matusz,Lackey,,2:48,D,37742,1.6,-1,,2010,2010-07-04,1,FALSE,Sunday
89,"Thursday, Jul 15",BOS,H,TEX,L,2,7,,51-38,3,5.5,Hunter,Wakefield,,3:11,N,38062,1.47,-1,,2010,2010-07-15,1,FALSE,Thursday
90,"Friday, Jul 16",BOS,H,TEX,L,4,8,,51-39,3,6.5,Lewis,Doubront,,3:21,N,37669,1.37,-2,,2010,2010-07-16,1,FALSE,Friday
91,"Saturday, Jul 17",BOS,H,TEX,W-wo,3,2,11,52-39,3,5.5,Delcarmen,Ogando,,2:58,N,37744,1.34,1,,2010,2010-07-17,1,FALSE,Saturday
92,"Sunday, Jul 18",BOS,H,TEX,L,2,4,,52-40,3,6.5,Wilson,Lester,Feliz,2:57,D,37431,1.33,-1,,2010,2010-07-18,1,FALSE,Sunday
103,"Friday, Jul 30",BOS,H,DET,L,5,6,,58-45,3,7.5,Weinhardt,Lester,,3:49,N,37832,1.09,-1,,2010,2010-07-30,1,FALSE,Friday
104,"Saturday, Jul 31",BOS,H,DET,W-wo,5,4,,59-45,3,7.5,Okajima,Coke,,3:29,D,37498,1.01,1,,2010,2010-07-31,1,FALSE,Saturday
105,"Sunday, Aug 1",BOS,H,DET,W-wo,4,3,,60-45,3,6.5,Papelbon,Thomas,,2:48,D,37479,1.15,2,,2010,2010-08-01,1,FALSE,Sunday
106,"Monday, Aug 2",BOS,H,CLE,L,5,6,,60-46,3,6.5,Hernández,Lackey,Perez,3:18,N,37931,1.2,-1,,2010,2010-08-02,1,FALSE,Monday
107,"Tuesday, Aug 3",BOS,H,CLE,W,3,1,,61-46,3,6.5,Beckett,Huff,Papelbon,2:41,N,37714,1.04,1,,2010,2010-08-03,1,FALSE,Tuesday
108,"Wednesday, Aug 4",BOS,H,CLE,L,1,9,,61-47,3,6.5,Masterson,Lester,,3:07,N,37902,1.21,-1,,2010,2010-08-04,1,FALSE,Wednesday
109,"Thursday, Aug 5",BOS,H,CLE,W,6,2,,62-47,3,6.0,Matsuzaka,Tomlin,Papelbon,3:00,N,38102,1.09,1,,2010,2010-08-05,1,FALSE,Thursday
120,"Tuesday, Aug 17",BOS,H,LAA,W,6,0,,68-52,3,5.5,Buchholz,Weaver,,2:43,N,38304,1.34,1,,2010,2010-08-17,1,FALSE,Tuesday
121,"Wednesday, Aug 18",BOS,H,LAA,W,7,5,,69-52,3,5.5,Lackey,Jepsen,Papelbon,3:11,N,37779,1.37,2,,2010,2010-08-18,1,FALSE,Wednesday
122,"Thursday, Aug 19",BOS,H,LAA,L,2,7,,69-53,3,6.5,Santana,Beckett,,3:06,N,37641,1.37,-1,,2010,2010-08-19,1,FALSE,Thursday
123,"Friday, Aug 20",BOS,H,TOR,L,2,16,,69-54,3,6.5,Cecil,Lester,,3:02,N,37726,1.28,-2,,2010,2010-08-20,1,FALSE,Friday
124,"Saturday, Aug 21",BOS,H,TOR,W-wo,5,4,11,70-54,3,6.5,Papelbon,Janssen,,3:23,N,37614,1.23,1,,2010,2010-08-21,1,FALSE,Saturday
125,"Sunday, Aug 22",BOS,H,TOR,W,5,0,,71-54,3,6.5,Buchholz,Marcum,Doubront,2:45,D,37506,1.27,2,,2010,2010-08-22,1,FALSE,Sunday
126,"Monday, Aug 23",BOS,H,SEA,W,6,3,,72-54,3,5.5,Lackey,Fister,Papelbon,2:21,N,37133,1.22,3,,2010,2010-08-23,1,FALSE,Monday
127,"Wednesday, Aug 25 (1)",BOS,H,SEA,W,5,3,,73-54,3,5.5,Beckett,Pauley,Papelbon,2:44,D,37183,1.17,4,2010-08-24 (Rain),2010,2010-08-25,1,TRUE,Wednesday
128,"Wednesday, Aug 25 (2)",BOS,H,SEA,L,2,4,,73-55,3,5.5,Hernández,Wakefield,League,2:41,N,37451,1.27,-1,,2010,2010-08-25,2,TRUE,Wednesday
